,id,pair,cue,target,cond,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
94,1,35,bun,lake,1,mild,2,1,0.0,0.08999329,0.19873438775539398,0.17714668810367584,bee,0.0
95,1,36,agony,hound,0,,2,0,,0.2622713,,,,
96,1,37,tug,vote,1,war,2,0,1.0,0.0065951585,0.1973920464515686,0.3048691153526306,war,0.0
97,1,38,wood,fear,0,,2,0,,0.18111432,,,,
98,1,39,yearn,cards,1,learn,2,0,1.0,0.06786431,0.31587541103363037,0.2365020364522934,learn,0.0
99,1,40,pork,beef,1,rib,2,0,0.0,0.84590256,0.5041071772575378,0.4880073070526123,beef,0.0
100,1,41,prism,hurry,1,light,2,0,1.0,-0.036625378,0.3837797939777374,0.20676690340042114,light,0.0
101,1,42,tired,bored,1,god,2,1,0.0,0.7057688,0.36832529306411743,0.35553666949272156,bored,0.0
102,1,43,yolk,money,0,,2,0,,0.015234128,,,,
103,1,44,slurp,west,1,read,2,1,0.0,-0.084954344,0.08490782976150513,0.08997320383787155,away,0.0
104,1,45,rude,dish,1,angry,2,1,0.0,0.18629928,0.6475834250450134,0.1516990214586258,anger,0.0
105,1,46,doze,plus,0,,2,1,,0.020389317,,,,
106,1,47,heavy,duty,0,,1,0,,0.492564,,,,
107,1,48,seize,bee,0,,2,1,,0.08214486,,,,
108,1,49,town,god,0,,2,0,,0.2290586,,,,
109,1,50,last,day,0,,2,0,,0.6838184,,,,
110,1,51,force,happy,1,pull,2,0,1.0,0.26116312,0.5149934887886047,0.3703401982784271,pull,0.0
111,1,52,task,alone,0,,2,0,,0.3995754,,,,
112,1,53,scarf,silk,1,fear,2,1,0.0,0.63188416,0.12066224962472916,0.10486334562301636,silk,0.0
113,1,54,pack,full,1,light,2,1,1.0,0.40528598,0.26751282811164856,0.36695271730422974,light,0.0
114,1,55,going,there,0,,2,0,,0.7492553,,,,
115,1,56,honor,month,1,alone,2,0,0.0,0.26787153,0.29869693517684937,0.4119696617126465,great,0.0
116,1,57,gin,sharp,0,,2,1,,0.16577865,,,,
117,1,58,royal,hotel,0,,2,1,,0.34354278,,,,
118,1,59,mend,hot,0,,2,0,,0.094790205,,,,
119,1,60,vine,navy,1,sugar,2,1,0.0,0.12478929,0.25011229515075684,0.18535517156124115,hurry,0.0
120,2,1,bus,hurt,0,,1,1,,0.25217578,,,,
121,2,2,croak,top,0,,1,0,,-0.12875935,,,,
122,2,3,court,jail,1,ball,1,0,1.0,0.566291,0.27854517102241516,0.13730601966381073,ball,0.0
123,2,4,vivid,sit,1,color,1,0,1.0,0.13455118,0.5387917160987854,0.14378048479557037,color,1.0
124,2,5,year,minor,1,long,1,1,0.0,0.2496387,0.48211154341697693,0.23963937163352966,month,0.0
125,2,6,essay,glue,1,write,1,0,1.0,0.015665948,0.4858970046043396,0.19781164824962616,write,1.0
126,2,7,snow,road,1,white,1,1,1.0,0.44269753,0.3528614044189453,0.230558842420578,white,0.0
127,2,8,bay,beach,0,,1,0,,0.5876903,,,,
128,2,9,learn,find,1,read,1,0,0.0,0.62303567,0.4703703820705414,0.5063209533691406,understand,0.0
129,2,10,just,need,1,fair,1,0,1.0,0.6575736,0.45579928159713745,0.3953896462917328,fair,0.0
130,2,11,tile,sand,0,,1,1,,0.39506063,,,,
131,2,12,cabin,jelly,0,,1,0,,0.061660893,,,,
132,2,13,many,all,1,few,1,1,1.0,0.7478515,0.8164584040641785,0.6280505657196045,few,0.0
133,2,14,sap,laugh,0,,1,0,,0.08919973,,,,
134,2,15,inch,cover,1,small,1,1,1.0,0.23288062,0.3164764642715454,0.33985263109207153,small,0.0
135,2,16,bike,paint,1,wheel,1,0,1.0,0.31452736,0.5278651118278503,0.39997977018356323,wheel,0.0
136,2,17,baby,toy,0,,1,1,,0.5090242,,,,
137,2,18,pious,add,0,,1,1,,-0.005233292,,,,
138,2,19,write,step,1,pen,1,0,0.0,0.36689934,0.3892335593700409,0.21148581802845,read,1.0
139,2,20,fairy,paper,0,,1,0,,0.25410262,,,,
140,2,21,think,know,0,,1,1,,0.88507104,,,,
141,2,22,wart,news,1,sick,1,0,1.0,-0.0072534606,0.15556584298610687,0.274843692779541,sick,0.0
142,2,23,mild,track,0,,1,0,,0.10546857,,,,
143,2,24,night,show,0,,1,0,,0.5008233,,,,
144,2,25,best,great,0,,1,1,,0.70658535,,,,
145,2,26,wrong,kill,0,,1,1,,0.45672953,,,,
146,2,27,jog,rent,1,run,1,0,1.0,0.08143854,0.37161627411842346,0.2131786048412323,run,1.0
147,2,28,acorn,minus,1,nut,1,0,1.0,0.08931689,0.4344938099384308,0.22208163142204285,nut,0.0
148,2,29,dent,fire,1,hit,1,0,0.0,0.17562199,0.24356859922409058,0.3955821692943573,break,0.0
149,2,30,cent,art,0,,1,0,,0.072835386,,,,
150,2,31,shiny,layer,0,,2,0,,0.2976558,,,,
151,2,32,blues,music,0,,2,1,,0.5405771,,,,
152,2,33,dip,bossy,0,,2,0,,-0.013717066,,,,
