,id,pair,cue,target,cond,group,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
1770,29,31,shiny,layer,0,B,dull,2,1,0.0,0.2976558,0.5288584232330322,0.20447345077991486,stone,0.0
1771,29,32,blues,music,2,B,happy,2,1,0.0,0.5405771,0.2375512421131134,0.3543412685394287,music,0.0
1772,29,33,dip,bossy,0,B,mad,2,0,0.0,-0.013717066,0.20682527124881744,0.37427815794944763,chips,0.0
1773,29,34,notes,stair,0,B,,2,1,,0.05721494,,,,
1774,29,35,bun,lake,0,B,,2,0,,0.08999329,,,,
1775,29,36,agony,hound,0,B,dog,2,0,0.0,0.2622713,0.18937815725803375,0.631738007068634,pain,0.0
1776,29,37,tug,vote,0,B,,2,0,,0.0065951585,,,,
1777,29,38,wood,fear,2,B,Bigfoot,2,1,0.0,0.18111432,0.0018533021211624146,0.021040979772806168,clear,0.0
1778,29,39,yearn,cards,0,B,,2,0,,0.06786431,,,,
1779,29,40,pork,beef,0,B,,2,1,,0.84590256,,,,
1780,29,41,prism,hurry,0,B,,2,0,,-0.036625378,,,,
1781,29,42,tired,bored,0,B,,2,0,,0.7057688,,,,
1782,29,43,yolk,money,0,B,many,2,1,0.0,0.015234128,0.013553746044635773,0.4650799334049225,egg,0.0
1783,29,44,slurp,west,0,B,,2,0,,-0.084954344,,,,
1784,29,45,rude,dish,0,B,,2,0,,0.18629928,,,,
1785,29,46,doze,plus,2,B,sleep,2,0,0.0,0.020389317,0.5591707825660706,0.2367756962776184,sad,0.0
1786,29,47,heavy,duty,0,B,,2,1,,0.492564,,,,
1787,29,48,seize,bee,0,B,,1,1,,0.08214486,,,,0.0
1788,29,49,town,god,2,B,city,2,1,0.0,0.2290586,0.7711463570594788,0.28005439043045044,god,0.0
1789,29,50,last,day,2,B,first,2,0,1.0,0.6838184,0.7223884463310242,0.5370298027992249,first,0.0
1790,29,51,force,happy,0,B,,2,0,,0.26116312,,,,
1791,29,52,task,alone,2,B,group,2,1,1.0,0.3995754,0.36258524656295776,0.3597520589828491,group,0.0
1792,29,53,scarf,silk,0,B,,2,0,,0.63188416,,,,
1793,29,54,pack,full,0,B,,2,0,,0.40528598,,,,
1794,29,55,going,there,2,B,where,2,1,0.0,0.7492553,0.6321672797203064,0.7860671877861023,there,0.0
1795,29,56,honor,month,0,B,,2,1,,0.26787153,,,,
1796,29,57,gin,sharp,2,B,plant,2,0,0.0,0.16577865,0.19988207519054413,0.15167440474033356,beer,0.0
1797,29,58,royal,hotel,2,B,britain,2,0,0.0,0.34354278,0.4104722738265991,0.18280072510242462,castle,0.0
1798,29,59,mend,hot,2,B,bend,2,0,0.0,0.094790205,0.3449772298336029,0.24750463664531708,bent,0.0
1799,29,60,vine,navy,0,B,,2,0,,0.12478929,,,,
1800,30,1,bus,hurt,0,A,,1,0,,0.25217578,,,,0.0
1801,30,2,croak,top,0,A,,1,0,,-0.12875935,,,,0.0
1802,30,3,court,jail,1,A,side,1,1,0.0,0.566291,0.23184092342853546,0.15927845239639282,tale,0.0
1803,30,4,vivid,sit,1,A,,1,0,0.0,0.13455118,,,yolkj,0.0
1804,30,5,year,minor,1,A,month,1,0,0.0,0.2496387,0.8037528991699219,0.18408820033073425,nice,0.0
1805,30,6,essay,glue,1,A,,1,0,0.0,0.015665948,,,write,0.0
